,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
0,Ravindra Jadeja,All-Rounder,16.0,CSK,2022,Indian,Yes,Capped
1,Ravindra Jadeja,All-Rounder,16.0,CSK,2022,Indian,Yes,Capped
2,Deepak Chahar,Bowler,14.0,CSK,2022,Indian,No,Capped
3,MS Dhoni,Wicket-Keeper,12.0,CSK,2022,Indian,Yes,Capped
4,Moeen Ali,All-Rounder,8.0,CSK,2022,Overseas,Yes,Capped
5,Ambati Rayudu,Wicket-Keeper,6.75,CSK,2022,Indian,No,Capped
6,Ruturaj Gaikwad,Batsman,6.0,CSK,2022,Indian,Yes,Uncapped
7,Dwayne Bravo,All-Rounder,4.4,CSK,2022,Overseas,No,Capped
8,Shivam Dube,All-Rounder,4.0,CSK,2022,Indian,No,Capped
9,Chris Jordan,All-Rounder,3.6,CSK,2022,Overseas,No,Capped
10,Robin Uthappa,Batsman,2.0,CSK,2022,Indian,No,Capped
11,Mitchell Santner,All-Rounder,1.9,CSK,2022,Overseas,No,Capped
12,Adam Milne,Bowler,1.9,CSK,2022,Overseas,No,Capped
13,Rajvardhan Hangargekar,All-Rounder,1.5,CSK,2022,Indian,No,Uncapped
14,Prashant Solanki,Bowler,1.2,CSK,2022,Indian,No,Uncapped
15,Devon Conway,Batsman,1.0,CSK,2022,Overseas,No,Capped
16,Maheesh Theekshana,Bowler,0.7,CSK,2022,Overseas,No,Capped
17,Dwaine Pretorius,All-Rounder,0.5,CSK,2022,Overseas,No,Capped
18,Narayan Jagadeesan,Wicket-Keeper,0.2,CSK,2022,Indian,No,Uncapped
19,KM Asif,Bowler,0.2,CSK,2022,Indian,No,Uncapped
20,Tushar Deshpande,Bowler,0.2,CSK,2022,Indian,No,Uncapped
21,Subhranshu Senapati,Batsman,0.2,CSK,2022,Indian,No,Uncapped
22,Bhagath Varma,All-Rounder,0.2,CSK,2022,Indian,No,Uncapped
23,Simarjeet Singh,Bowler,0.2,CSK,2022,Indian,No,Uncapped
24,Hari Nishaanth,Batsman,0.2,CSK,2022,Indian,No,Uncapped
25,Mukesh Choudhary,Bowler,0.2,CSK,2022,Indian,No,Uncapped
26,Rishabh Pant,Wicket-Keeper,16.0,DC,2022,Indian,Yes,Capped
27,Shardul Thakur,Bowler,10.75,DC,2022,Indian,No,Capped
28,Axar Patel,All-Rounder,9.0,DC,2022,Indian,Yes,Capped
29,Prithvi Shaw,Batsman,7.5,DC,2022,Indian,Yes,Capped
