Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Ben Stokes,England,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Capped,200
Ravindra Jadeja,India,34,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Deepak Chahar,India,30,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
MS Dhoni,India,41,Wicketkeeper,RHB,-,Capped,
Moeen Ali,England,35,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Ambati Rayudu,India,37,Batsman,RHB,-,Capped,
Ruturaj Gaikwad,India,25,Batsman,RHB,-,Capped,
Shivam Dube,India,29,All-rounder,LHB,RIGHT ARM Medium,Capped,
Mitchell Santner,New Zealand,30,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Rajvardhan Hangargekar,India,20,All-rounder,RHB,RIGHT ARM Fast Medium,Uncapped,
Prashant Solanki,India,22,Bowler,RHB,RIGHT ARM Leg Spin,Uncapped,
Kyle Jamieson,New Zealand,28,BOWLER,RHB,RIGHT ARM Fast,Capped,100
Devon Conway,New Zealand,31,Wicketkeeper,LHB,-,Capped,
Maheesh Theekshana,Sri Lanka,22,Bowler,RHB,RIGHT ARM Off Spin,Capped,
Nishant Sindhu,India,18,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,Uncapped,20
Ajinkya Rahane,India,34,BATSMAN,RHB,-,Capped,50
Dwaine Pretorius,South Africa,33,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Matheesha Pathirana,Sri Lanka,20,Bowler,RHB,RIGHT ARM Fast,Capped,
Mukesh Choudhary,India,26,Bowler,LHB,LEFT ARM Fast Medium,Uncapped,
Shaik Rasheed,India,18,BATSMAN,RHB,RIGHT ARM Leg Spin,Uncapped,20
Simarjeet Singh,India,24,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Subhranshu Senapati,India,26,Batsman,RHB,-,Uncapped,
Bhagath Varma,India,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Ajay Mandal,India,27,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,Uncapped,20
Tushar Deshpande,India,27,Bowler,LHB,RIGHT ARM Medium,Uncapped,
Rishabh Pant,India,25,Wicketkeeper,LHB,-,Capped,
Axar Patel,India,28,All-rounder,LHB,LEFT ARM Slow Orthodox,Capped,
Prithvi Shaw,India,23,Batsman,RHB,-,Capped,
Mitchell Marsh,Australia,31,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Anrich Nortje,South Africa,29,Bowler,RHB,RIGHT ARM Fast,Capped,
David Warner,Australia,36,Batsman,LHB,-,Capped,
Mukesh Kumar,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Khaleel Ahmed,India,25,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Rilee Rossouw,South Africa,33,BATSMAN,LHB,-,Capped,200
Chetan Sakariya,India,24,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Rovman Powell,West Indies,29,All-rounder,RHB,RIGHT ARM Fast Medium,Capped,
Manish Pandey,India,33,BATSMAN,RHB,-,Capped,100
Mustafizur Rahman,Bangladesh,27,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Kuldeep Yadav,India,28,Bowler,LHB,LEFT ARM Slow Unorthodox,Capped,
Philip Salt,England,26,WICKETKEEPER,RHB,-,Capped,200
Kamlesh Nagarkoti,India,22,Bowler,RHB,RIGHT ARM Fast,Uncapped,
Lalit Yadav,India,26,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,
Ishant Sharma,India,34,BOWLER,RHB,RIGHT ARM Fast,Capped,50
Lungi Ngidi,South Africa,26,Bowler,RHB,RIGHT ARM Fast,Capped,
Pravin Dubey,India,29,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Yash Dhull,India,20,Batsman,RHB,-,Uncapped,
Ripal Patel,India,27,All-rounder,RHB,RIGHT ARM Medium,Uncapped,
