,Team,Year,Player ID,Player Name_squad,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
0,SRH,2024,12b610c2,Travis Head,6.8,No,No,Australia,30.0,Batsman,LHB,Right Arm Off Spin,Capped,2.0
1,SRH,2024,f29185a1,Abhishek Sharma,6.5,No,Yes,India,23.0,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,
2,SRH,2024,6a26221c,Aiden Markram,2.6,No,Yes,South Africa,29.0,All-Rounder,RHB,Right Arm Off Spin,Capped,
3,SRH,2024,aad0c365,Nitish Kumar Reddy,0.2,No,Yes,India,20.0,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,
4,SRH,2024,77255a9e,Rahul Tripathi,8.5,No,Yes,India,32.0,Batsman,RHB,-,Capped,
5,SRH,2024,235c2bb6,Heinrich Klaasen,5.25,No,Yes,South Africa,32.0,Wicketkeeper,RHB,-,Capped,
6,SRH,2024,8e514b4c,Abdul Samad,4.0,No,Yes,India,22.0,All-Rounder,RHB,Right Arm Leg Spin,Uncapped,
7,SRH,2024,f9e6e7ef,Shahbaz Ahmed,2.4,No,No,India,29.0,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,0.0
8,SRH,2024,ded9240e,Pat Cummins,20.5,No,No,Australia,30.0,All-Rounder,RHB,Right Arm Fast,Capped,2.0
9,SRH,2024,2e81a32d,Bhuvneshwar Kumar,4.2,No,Yes,India,33.0,Bowler,RHB,Right Arm Fast Medium,Capped,
10,SRH,2024,1e66c162,Jaydev Unadkat,1.6,No,No,India,32.0,Bowler,RHB,Left Arm Fast Medium,Capped,0.5
11,SRH,2024,ce794613,T Natarajan,4.0,No,Yes,India,32.0,Bowler,LHB,Left Arm Fast Medium,Capped,
12,PBKS,2024,244048f6,Arshdeep Singh,4.0,No,Yes,India,24.0,Bowler,LHB,Left Arm Fast Medium,Capped,
13,PBKS,2024,0a476045,Shikhar Dhawan,8.25,No,Yes,India,38.0,Batsman,LHB,-,Capped,
14,PBKS,2024,abb83e27,Jonny Bairstow,6.75,No,Yes,England,34.0,Wicketkeeper,RHB,-,Capped,
15,PBKS,2024,9418198b,Arshdeep Singh,4.0,No,Yes,India,24.0,Bowler,LHB,Left Arm Fast Medium,Capped,
16,PBKS,2024,e94915e6,Sam Curran,18.5,No,Yes,England,25.0,All-Rounder,LHB,Left Arm Fast Medium,Capped,
17,PBKS,2024,26d041c4,Sikandar Raza,0.5,No,Yes,Zimbabwe,37.0,All-Rounder,RHB,Right Arm Off Spin,Capped,
18,PBKS,2024,26989d80,Shashank Singh,0.2,No,No,India,20.0,Batsman,RHB,-,Uncapped,0.2
19,PBKS,2024,800d2d97,Jitesh Sharma,0.2,No,Yes,India,30.0,Wicketkeeper,RHB,-,Capped,
20,PBKS,2024,84d9c311,Ashutosh Sharma,0.2,No,No,India,25.0,All-Rounder,RHB,Right Arm Medium,Uncapped,0.2
21,PBKS,2024,c05edf8e,Harpreet Brar,3.8,No,Yes,India,28.0,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,
22,PBKS,2024,f986ca1a,Harshal Patel,11.75,No,No,India,33.0,All-Rounder,RHB,Right Arm Fast Medium,Capped,2.0
23,PBKS,2024,e62dd25d,Kagiso Rabada,9.25,No,Yes,South Africa,28.0,Bowler,LHB,Right Arm Fast,Capped,
24,CSK,2023,b483905d,Akash Singh,0.2,Yes,No,India,20.0,Bowler,RHB,Left Arm Fast,Uncapped,0.2
25,CSK,2023,45a43fe2,Ruturaj Gaikwad,6.0,No,Yes,India,25.0,Batsman,RHB,-,Capped,
26,CSK,2023,df5a6881,Devon Conway,1.0,No,Yes,New Zealand,31.0,Wicketkeeper,LHB,-,Capped,
27,CSK,2023,29e95537,Ajinkya Rahane,0.5,No,No,India,34.0,Batsman,RHB,-,Capped,0.5
28,CSK,2023,a4e37e47,Shivam Dube,4.0,No,Yes,India,29.0,All-Rounder,LHB,Right Arm Medium,Capped,
29,CSK,2023,fe93fd9d,Ravindra Jadeja,16.0,No,Yes,India,34.0,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,
30,CSK,2023,4a8a2e3b,MS Dhoni,12.0,No,Yes,India,41.0,Wicketkeeper,RHB,-,Capped,
31,CSK,2023,bb351c23,Moeen Ali,8.0,No,Yes,England,35.0,All-Rounder,LHB,Right Arm Off Spin,Capped,
32,CSK,2023,70d205c9,Ambati Rayudu,6.75,No,Yes,India,37.0,Batsman,RHB,-,Capped,
33,CSK,2023,64839cb3,Matheesha Pathirana,0.2,No,Yes,Sri Lanka,20.0,Bowler,RHB,Right Arm Fast,Capped,
34,CSK,2023,46a9bea1,Tushar Deshpande,0.2,No,Yes,India,27.0,Bowler,LHB,Right Arm Medium,Uncapped,
35,CSK,2023,f24c6701,Maheesh Theekshana,0.7,No,Yes,Sri Lanka,22.0,Bowler,RHB,Right Arm Off Spin,Capped,
36,KKR,2023,9440ef41,Suyash Sharma,0.2,No,No,India,19.0,Bowler,RHB,Right Arm Leg Spin,Uncapped,0.2
37,KKR,2023,bd54eef5,Narayan Jagadeesan,0.9,No,No,India,27.0,Wicketkeeper,RHB,-,Uncapped,0.2
