,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
0,Ravindra Jadeja,CSK,2022,16.0,No,Yes,India,33,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,
1,Deepak Chahar,CSK,2022,14.0,No,No,India,29,Bowler,RHB,Right Arm Fast Medium,Capped,2.0
2,MS Dhoni,CSK,2022,12.0,No,Yes,India,40,Wicketkeeper,RHB,-,Capped,
3,Moeen Ali,CSK,2022,8.0,No,Yes,England,34,All-Rounder,LHB,Right Arm Off Spin,Capped,
4,Ambati Rayudu,CSK,2022,6.75,No,No,India,36,Wicketkeeper,RHB,-,Capped,2.0
5,Ruturaj Gaikwad,CSK,2022,6.0,No,Yes,India,25,Batsman,RHB,-,Capped,
6,Dwayne Bravo,CSK,2022,4.4,No,No,West Indies,38,All-Rounder,RHB,Right Arm Fast Medium,Capped,2.0
7,Shivam Dube,CSK,2022,4.0,No,No,India,28,All-Rounder,LHB,Right Arm Fast Medium,Capped,0.5
8,Chris Jordan,CSK,2022,3.6,No,No,England,33,All-Rounder,RHB,Right Arm Fast Medium,Capped,2.0
9,Robin Uthappa,CSK,2022,2.0,No,No,India,36,Batsman,RHB,-,Capped,2.0
10,Mitchell Santner,CSK,2022,1.9,No,No,New Zealand,30,All-Rounder,LHB,Left Arm Slow Orthodox,Capped,1.0
11,Adam Milne,CSK,2022,1.9,No,No,New Zealand,29,Bowler,RHB,Right Arm Fast,Capped,1.5
12,Rajvardhan Hangargekar,CSK,2022,1.5,No,No,India,19,All-Rounder,RHB,Right Arm Fast,Uncapped,0.3
13,Prashant Solanki,CSK,2022,1.2,No,No,India,22,Bowler,RHB,Right Arm Leg Spin,Uncapped,0.2
14,Devon Conway,CSK,2022,1.0,No,No,New Zealand,30,Batsman,LHB,Right Arm Medium,Capped,1.0
15,Maheesh Theekshana,CSK,2022,0.7,No,No,Sri Lanka,21,Bowler,RHB,Right Arm Off Spin,Capped,0.5
16,Dwaine Pretorius,CSK,2022,0.5,No,No,South Africa,33,All-Rounder,RHB,Right Arm Fast Medium,Capped,0.5
17,Narayan Jagadeesan,CSK,2022,0.2,No,No,India,26,Wicketkeeper,RHB,-,Uncapped,0.2
18,KM Asif,CSK,2022,0.2,No,No,India,28,Bowler,RHB,Right Arm Fast,Uncapped,0.2
19,Tushar Deshpande,CSK,2022,0.2,No,No,India,26,Bowler,LHB,Right Arm Fast,Uncapped,0.2
20,Subhranshu Senapati,CSK,2022,0.2,No,No,India,25,Batsman,RHB,Right Arm Fast Medium,Uncapped,0.2
21,Bhagath Varma,CSK,2022,0.2,No,No,India,23,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.2
22,Simarjeet Singh,CSK,2022,0.2,No,No,India,24,Bowler,RHB,Right Arm Fast,Uncapped,0.2
23,Hari Nishaanth,CSK,2022,0.2,No,No,India,25,Batsman,LHB,Right Arm Off Spin,Uncapped,0.2
24,Mukesh Choudhary,CSK,2022,0.2,No,No,India,25,Bowler,LHB,Left Arm Fast,Uncapped,0.2
25,Rishabh Pant,DC,2022,16.0,No,Yes,India,24,Wicketkeeper,LHB,-,Capped,
