,Player Name,Team,Year,Price,Replacement,Retained
0,Ravindra Jadeja,CSK,2022,16.0,No,Yes
1,Deepak Chahar,CSK,2022,14.0,No,No
2,MS Dhoni,CSK,2022,12.0,No,Yes
3,Moeen Ali,CSK,2022,8.0,No,Yes
4,Ambati Rayudu,CSK,2022,6.75,No,No
5,Ruturaj Gaikwad,CSK,2022,6.0,No,Yes
6,Dwayne Bravo,CSK,2022,4.4,No,No
7,Shivam Dube,CSK,2022,4.0,No,No
8,Chris Jordan,CSK,2022,3.6,No,No
9,Robin Uthappa,CSK,2022,2.0,No,No
10,Mitchell Santner,CSK,2022,1.9,No,No
11,Adam Milne,CSK,2022,1.9,No,No
12,Rajvardhan Hangargekar,CSK,2022,1.5,No,No
13,Prashant Solanki,CSK,2022,1.2,No,No
14,Devon Conway,CSK,2022,1.0,No,No
15,Maheesh Theekshana,CSK,2022,0.7,No,No
16,Dwaine Pretorius,CSK,2022,0.5,No,No
17,Narayan Jagadeesan,CSK,2022,0.2,No,No
18,KM Asif,CSK,2022,0.2,No,No
19,Tushar Deshpande,CSK,2022,0.2,No,No
20,Subhranshu Senapati,CSK,2022,0.2,No,No
21,Bhagath Varma,CSK,2022,0.2,No,No
22,Simarjeet Singh,CSK,2022,0.2,No,No
23,Hari Nishaanth,CSK,2022,0.2,No,No
24,Mukesh Choudhary,CSK,2022,0.2,No,No
25,Rishabh Pant,DC,2022,16.0,No,Yes
26,Shardul Thakur,DC,2022,10.75,No,No
27,Axar Patel,DC,2022,9.0,No,Yes
28,Prithvi Shaw,DC,2022,7.5,No,Yes
29,Mitchell Marsh,DC,2022,6.5,No,No
30,Anrich Nortje,DC,2022,6.5,No,Yes
31,David Warner,DC,2022,6.25,No,No
32,Khaleel Ahmed,DC,2022,5.25,No,No
33,Chetan Sakariya,DC,2022,4.2,No,No
34,Rovman Powell,DC,2022,2.8,No,No
35,Kuldeep Yadav,DC,2022,2.0,No,No
36,KS Bharat,DC,2022,2.0,No,No
37,Mustafizur Rahman,DC,2022,2.0,No,No
38,Kamlesh Nagarkoti,DC,2022,1.1,No,No
39,Mandeep Singh,DC,2022,1.1,No,No
40,Lalit Yadav,DC,2022,0.65,No,No
41,Yash Dhull,DC,2022,0.5,No,No
42,Lungi Ngidi,DC,2022,0.5,No,No
43,Tim Seifert,DC,2022,0.5,No,No
44,Pravin Dubey,DC,2022,0.5,No,No
45,Ashwin Hebbar,DC,2022,0.2,No,No
46,Ripal Patel,DC,2022,0.2,No,No
47,Vicky Ostwal,DC,2022,0.2,No,No
48,Sarfaraz Khan,DC,2022,0.2,No,No
49,Rohit Sharma,MI,2022,16.0,No,Yes
50,Ishan Kishan,MI,2022,15.25,No,No
51,Jasprit Bumrah,MI,2022,12.0,No,Yes
52,Tim David,MI,2022,8.25,No,No
53,Jofra Archer,MI,2022,8.0,No,No
54,Suryakumar Yadav,MI,2022,8.0,No,Yes
55,Kieron Pollard,MI,2022,6.0,No,Yes
56,Dewald Brevis,MI,2022,3.0,No,No
57,Daniel Sams,MI,2022,2.6,No,No
58,Tilak Varma,MI,2022,1.7,No,No
59,Murugan Ashwin,MI,2022,1.6,No,No
60,Tymal Mills,MI,2022,1.5,No,No
61,Jaydev Unadkat,MI,2022,1.3,No,No
62,Riley Meredith,MI,2022,1.0,No,No
63,Fabian Allen,MI,2022,0.75,No,No
64,Mayank Markande,MI,2022,0.65,No,No
65,Sanjay Yadav,MI,2022,0.5,No,No
66,Basil Thampi,MI,2022,0.3,No,No
67,Arjun Tendulkar,MI,2022,0.3,No,No
68,Ramandeep Singh,MI,2022,0.2,No,No
69,Anmolpreet Singh,MI,2022,0.2,No,No
70,Aryan Juyal,MI,2022,0.2,No,No
71,Arshad Khan,MI,2022,0.2,No,No
72,Rahul Buddhi,MI,2022,0.2,No,No
73,Hrithik Shokeen,MI,2022,0.2,No,No
74,KL Rahul,LSG,2022,17.0,No,Yes
75,Avesh Khan,LSG,2022,10.0,No,No
76,Marcus Stoinis,LSG,2022,9.2,No,Yes
77,Jason Holder,LSG,2022,8.75,No,No
78,Krunal Pandya,LSG,2022,8.25,No,No
79,Mark Wood,LSG,2022,7.5,No,No
80,Quinton de Kock,LSG,2022,6.75,No,No
81,Deepak Hooda,LSG,2022,5.75,No,No
82,Manish Pandey,LSG,2022,4.6,No,No
83,Ravi Bishnoi,LSG,2022,4.0,No,Yes
84,Evin Lewis,LSG,2022,2.0,No,No
85,Dushmantha Chameera,LSG,2022,2.0,No,No
86,Krishnappa Gowtham,LSG,2022,0.9,No,No
87,Kyle Mayers,LSG,2022,0.5,No,No
88,Shahbaz Nadeem,LSG,2022,0.5,No,No
89,Ankit Rajpoot,LSG,2022,0.5,No,No
90,Mohsin Khan,LSG,2022,0.2,No,No
91,Ayush Badoni,LSG,2022,0.2,No,No
92,Karan Sharma,LSG,2022,0.2,No,No
93,Mayank Yadav,LSG,2022,0.2,No,No
94,Manan Vohra,LSG,2022,0.2,No,No
95,Rashid Khan,GT,2022,15.0,No,Yes
96,Hardik Pandya,GT,2022,15.0,No,Yes
97,Lockie Ferguson,GT,2022,10.0,No,No
98,Rahul Tewatia,GT,2022,9.0,No,No
99,Shubman Gill,GT,2022,8.0,No,Yes
100,Mohammed Shami,GT,2022,6.25,No,No
101,Yash Dayal,GT,2022,3.2,No,No
102,Sai Kishore,GT,2022,3.0,No,No
103,David Miller,GT,2022,3.0,No,No
104,Abhinav Manohar,GT,2022,2.6,No,No
105,Alzarri Joseph,GT,2022,2.4,No,No
106,Matthew Wade,GT,2022,2.4,No,No
107,Jason Roy,GT,2022,2.0,No,No
108,Wriddhiman Saha,GT,2022,1.9,No,No
109,Jayant Yadav,GT,2022,1.7,No,No
110,Vijay Shankar,GT,2022,1.4,No,No
111,Dominic Drakes,GT,2022,1.1,No,No
112,Varun Aaron,GT,2022,0.5,No,No
113,Gurkeerat Singh Mann,GT,2022,0.5,No,No
114,Noor Ahmad,GT,2022,0.3,No,No
115,Darshan Nalkande,GT,2022,0.2,No,No
116,Sai Sudharsan,GT,2022,0.2,No,No
117,Pradeep Sangwan,GT,2022,0.2,No,No
118,Shreyas Iyer,KKR,2022,12.25,No,No
119,Andre Russell,KKR,2022,12.0,No,Yes
120,Nitish Rana,KKR,2022,8.0,No,No
121,Varun Chakravarthy,KKR,2022,8.0,No,Yes
122,Venkatesh Iyer,KKR,2022,8.0,No,Yes
123,Shivam Mavi,KKR,2022,7.25,No,No
124,Pat Cummins,KKR,2022,7.25,No,No
125,Sunil Narine,KKR,2022,6.0,No,Yes
126,Umesh Yadav,KKR,2022,2.0,No,No
127,Sam Billings,KKR,2022,2.0,No,No
128,Tim Southee,KKR,2022,1.5,No,No
129,Alex Hales,KKR,2022,1.5,No,No
130,Mohammad Nabi,KKR,2022,1.0,No,No
131,Ajinkya Rahane,KKR,2022,1.0,No,No
132,Sheldon Jackson,KKR,2022,0.6,No,No
133,Rinku Singh,KKR,2022,0.55,No,No
134,Ashok Sharma,KKR,2022,0.55,No,No
135,Chamika Karunaratne,KKR,2022,0.5,No,No
136,Abhijeet Tomar,KKR,2022,0.4,No,No
137,Anukul Roy,KKR,2022,0.2,No,No
138,Pratham Singh,KKR,2022,0.2,No,No
139,Rasikh Dar,KKR,2022,0.2,No,No
140,Ramesh Kumar,KKR,2022,0.2,No,No
141,Aman Khan,KKR,2022,0.2,No,No
142,Baba Indrajith,KKR,2022,0.2,No,No
143,Mayank Agarwal,PBKS,2022,12.0,No,Yes
144,Liam Livingstone,PBKS,2022,11.5,No,No
145,Kagiso Rabada,PBKS,2022,9.25,No,No
146,Shahrukh Khan,PBKS,2022,9.0,No,No
147,Shikhar Dhawan,PBKS,2022,8.25,No,No
148,Jonny Bairstow,PBKS,2022,6.75,No,No
149,Odean Smith,PBKS,2022,6.0,No,No
150,Rahul Chahar,PBKS,2022,5.25,No,No
151,Arshdeep Singh,PBKS,2022,4.0,No,Yes
152,Harpreet Brar,PBKS,2022,3.8,No,No
153,Vaibhav Arora,PBKS,2022,2.0,No,No
154,Raj Bawa,PBKS,2022,2.0,No,No
155,Nathan Ellis,PBKS,2022,0.75,No,No
156,Prabhsimran Singh,PBKS,2022,0.6,No,No
157,Rishi Dhawan,PBKS,2022,0.55,No,No
158,Bhanuka Rajapaksa,PBKS,2022,0.5,No,No
159,Sandeep Sharma,PBKS,2022,0.5,No,No
160,Benny Howell,PBKS,2022,0.4,No,No
161,Ishan Porel,PBKS,2022,0.25,No,No
162,Prerak Mankad,PBKS,2022,0.2,No,No
