,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
0,1426261,SRH,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,PBKS,field,Group Stage,SRH,182,9,120,PBKS,180,6,120
1,1359507,CSK,"Eden Gardens, Kolkata",2023,KKR,field,Group Stage,CSK,235,4,120,KKR,186,8,120
2,1304086,GT,"Wankhede Stadium, Mumbai",2022,GT,field,Group Stage,SRH,195,6,120,GT,199,5,120
3,1304069,PBKS,"Maharashtra Cricket Association Stadium, Pune",2022,MI,field,Group Stage,PBKS,198,5,120,MI,186,9,120
4,1473446,GT,"Narendra Modi Stadium, Ahmedabad",2025,MI,field,Group Stage,GT,196,8,120,MI,160,6,120
5,1473503,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,RCB,field,Group Stage,SRH,231,6,120,RCB,189,10,120
6,1304090,MI,"Dr DY Patil Sports Academy, Mumbai",2022,MI,field,Group Stage,RR,158,6,120,MI,161,5,120
7,1473450,PBKS,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,PBKS,field,Group Stage,LSG,171,7,120,PBKS,177,2,101
8,1359511,RR,"Sawai Mansingh Stadium, Jaipur",2023,RR,bat,Group Stage,RR,202,5,120,CSK,170,6,120
9,1426277,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",2024,LSG,field,Group Stage,CSK,210,4,120,LSG,213,4,120
10,1426298,KKR,"Eden Gardens, Kolkata",2024,MI,field,Group Stage,KKR,157,7,99,MI,139,8,102
11,1304053,LSG,"Brabourne Stadium, Mumbai",2022,LSG,field,Group Stage,CSK,210,7,120,LSG,211,4,120
12,1304116,PBKS,"Wankhede Stadium, Mumbai",2022,SRH,bat,Group Stage,SRH,157,8,120,PBKS,160,5,95
13,1473493,GT,"Wankhede Stadium, Mumbai",2025,GT,field,Group Stage,MI,155,8,120,GT,147,7,120
14,1359478,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,SRH,field,Group Stage,RR,203,5,120,SRH,131,8,120
15,1359497,RR,"Narendra Modi Stadium, Ahmedabad",2023,RR,field,Group Stage,GT,177,7,120,RR,179,7,118
