,Player,Role,Price,Team,Year,Origin,Retained
0,Ravindra Jadeja,All-Rounder,16.0,CSK,2022,Indian,Yes
1,Deepak Chahar,Bowler,14.0,CSK,2022,Indian,No
2,MS Dhoni,Wicket-Keeper,12.0,CSK,2022,Indian,Yes
3,Moeen Ali,All-Rounder,8.0,CSK,2022,Overseas,Yes
4,Ambati Rayudu,Wicket-Keeper,6.75,CSK,2022,Indian,No
5,Ruturaj Gaikwad,Batsman,6.0,CSK,2022,Indian,Yes
6,Dwayne Bravo,All-Rounder,4.4,CSK,2022,Overseas,No
7,Shivam Dube,All-Rounder,4.0,CSK,2022,Indian,No
8,Chris Jordan,All-Rounder,3.6,CSK,2022,Overseas,No
9,Robin Uthappa,Batsman,2.0,CSK,2022,Indian,No
10,Mitchell Santner,All-Rounder,1.9,CSK,2022,Overseas,No
11,Adam Milne,Bowler,1.9,CSK,2022,Overseas,No
12,Rajvardhan Hangargekar,All-Rounder,1.5,CSK,2022,Indian,No
13,Prashant Solanki,Bowler,1.2,CSK,2022,Indian,No
14,Devon Conway,Batsman,1.0,CSK,2022,Overseas,No
15,Maheesh Theekshana,Bowler,0.7,CSK,2022,Overseas,No
16,Dwaine Pretorius,All-Rounder,0.5,CSK,2022,Overseas,No
17,Narayan Jagadeesan,Wicket-Keeper,0.2,CSK,2022,Indian,No
18,KM Asif,Bowler,0.2,CSK,2022,Indian,No
19,Tushar Deshpande,Bowler,0.2,CSK,2022,Indian,No
20,Subhranshu Senapati,Batsman,0.2,CSK,2022,Indian,No
21,Bhagath Varma,All-Rounder,0.2,CSK,2022,Indian,No
22,Simarjeet Singh,Bowler,0.2,CSK,2022,Indian,No
23,Hari Nishaanth,Batsman,0.2,CSK,2022,Indian,No
24,Mukesh Choudhary,Bowler,0.2,CSK,2022,Indian,No
25,Rishabh Pant,Wicket-Keeper,16.0,DC,2022,Indian,Yes
26,Shardul Thakur,Bowler,10.75,DC,2022,Indian,No
27,Axar Patel,All-Rounder,9.0,DC,2022,Indian,Yes
28,Prithvi Shaw,Batsman,7.5,DC,2022,Indian,Yes
29,Mitchell Marsh,All-Rounder,6.5,DC,2022,Overseas,No
30,Anrich Nortje,Bowler,6.5,DC,2022,Overseas,Yes
31,David Warner,Batsman,6.25,DC,2022,Overseas,No
32,Khaleel Ahmed,Bowler,5.25,DC,2022,Indian,No
33,Chetan Sakariya,Bowler,4.2,DC,2022,Indian,No
34,Rovman Powell,Batsman,2.8,DC,2022,Overseas,No
35,Kuldeep Yadav,Bowler,2.0,DC,2022,Indian,No
36,Srikar Bharat,Wicket-Keeper,2.0,DC,2022,Indian,No
37,Mustafizur Rahman,Bowler,2.0,DC,2022,Overseas,No
38,Kamlesh Nagarkoti,All-Rounder,1.1,DC,2022,Indian,No
39,Mandeep Singh,Batsman,1.1,DC,2022,Indian,No
40,Lalit Yadav,All-Rounder,0.65,DC,2022,Indian,No
41,Yash Dhull,All-Rounder,0.5,DC,2022,Indian,No
42,Lungi Ngidi,Bowler,0.5,DC,2022,Overseas,No
43,Tim Seifert,Wicket-Keeper,0.5,DC,2022,Overseas,No
44,Pravin Dubey,All-Rounder,0.5,DC,2022,Indian,No
45,Ashwin Hebbar,Batsman,0.2,DC,2022,Indian,No
